t_ns,nonce,hash_hex,difficulty_bits,attempts_since_prev,backend,notes_json
125628709063483,183992,0000311d7547d99e968e49e4fdf15fa0345e552ae92f6119664779b54c1c409e,17,183993,cpu,"{""t_true_ns"": 125628709063483}"
125630042556701,430115,00007f377efdb21a12603e9c2dbd50a633981bdf81d830af4c340edc2a689ad2,17,246123,cpu,"{""t_true_ns"": 125630042556701}"
125630476632822,507739,00003df816b3fee81ae7f77bfdfeed1129591d149f8dade48c09d3e4c21e26c5,17,77624,cpu,"{""t_true_ns"": 125630476632822}"
125631219477742,616009,000074d3d2362d58113d039c8bd7706e62966cee111c4232dd57f82238d9203e,17,108270,cpu,"{""t_true_ns"": 125631219477742}"
125631265929787,629456,00005c2ddfebffaf15bf8805093ff4e5429088e11656591495a51e87770d42d6,17,13447,cpu,"{""t_true_ns"": 125631265929787}"
125632989290556,874871,0000714e7779a3d3e692584d12f1a1db73ac1db83333269ba9f751fc3e7d03bd,17,245415,cpu,"{""t_true_ns"": 125632989290556}"
125633009666609,882116,00001a4046b3c07f9733b8887c57802f0dfe1c62a1c85affe1e383160b81230a,17,7245,cpu,"{""t_true_ns"": 125633009666609}"
125633320121333,913919,000040c873280beb24117062fa61b996ff973efe31a2caac653193cce9a363ac,17,31803,cpu,"{""t_true_ns"": 125633320121333}"
125634969847684,1180330,00007249b2e0e7b14d91d78e466c76610791d7538b76f742a596e9e965641e54,17,266411,cpu,"{""t_true_ns"": 125634969847684}"
125635855113129,1341118,00005e66637686fc73843e1be70041a10023191df5e097fc8eb472a51f84106c,17,160788,cpu,"{""t_true_ns"": 125635855113129}"
125635896921157,1355509,000060ea8227d47ada6ed7a580a692b73f10cbfd35ed58d5af53abad1474ef99,17,14391,cpu,"{""t_true_ns"": 125635896921157}"
125635943585445,1370852,00003ee7a8463c6ec529b16a65030cbebd68c0c53a0c555822d910f329778e49,17,15343,cpu,"{""t_true_ns"": 125635943585445}"
125636295487530,1417197,0000443b9f2b78fb268bb7bde93141df6385804a8cb2a6c8de88630ca9d6087d,17,46345,cpu,"{""t_true_ns"": 125636295487530}"
125637083486227,1538880,0000305ba454fe7bc32f677d11f0ebf764bd1ae355fa5934d91e76338012b649,17,121683,cpu,"{""t_true_ns"": 125637083486227}"
125637112512057,1549215,00002589924538e7e818cc944b163e213b4f87acee15201c50d3fed713fcf8c9,17,10335,cpu,"{""t_true_ns"": 125637112512057}"
125637469500397,1600877,000070b4e3f040b698c732bf9c09c84dc417b62fc5e1a95b9a0014ba90370f01,17,51662,cpu,"{""t_true_ns"": 125637469500397}"
125637941044539,1686864,000035434d9d1d38ee55510e5ec58433766f9b795df23584ddb89605f0f9e974,17,85987,cpu,"{""t_true_ns"": 125637941044539}"
125638290205815,1732146,00007a6413504df4d132ebfd65b421043eed5fd5edc83c9d8fe3b544eecdbde1,17,45282,cpu,"{""t_true_ns"": 125638290205815}"
125639600177132,1966079,000027cffca64b84011072829449d09d147a93054e17aad6519ba64f24daf77f,17,233933,cpu,"{""t_true_ns"": 125639600177132}"
125639636952744,1978672,00003416e198a947b2ceecfa35e6f953ed3503e1414e573af48c1d9387863777,17,12593,cpu,"{""t_true_ns"": 125639636952744}"
125639968947229,2021626,0000005370f5005223d35d5c4f9b2fec0688ad701dc7a1a92dfe525623cef776,17,42954,cpu,"{""t_true_ns"": 125639968947229}"
125640572955098,2158197,00002f31b8972b32e3f1030a1ec66d15ea3f676682109f56203f3f7108fd1b4f,17,136571,cpu,"{""t_true_ns"": 125640572955098}"
125642650951066,2507337,000026ceb7a8bed12edfc4f736e21e9a0116304ebe265f0efa003283c230a685,17,349140,cpu,"{""t_true_ns"": 125642650951066}"
125643475614774,2650017,000017531c48ed2828853ea9ff5cb41d8c46df9c1262e83decc6a2a85940e77f,17,142680,cpu,"{""t_true_ns"": 125643475614774}"
125644660735376,2831713,000027229adecc59f23d0bd7875b920433288d5fc141cc35a0b17ddf01380633,17,181696,cpu,"{""t_true_ns"": 125644660735376}"
125644734602860,2856655,00001dc1e36691017f7bcae724d941106a0c840442923cd45411d34d73074631,17,24942,cpu,"{""t_true_ns"": 125644734602860}"
125645008177840,2870127,0000595d4e91067451cfacc5db5b3cb7f8c581ce30d54f1751d6d19d43aeb17f,17,13472,cpu,"{""t_true_ns"": 125645008177840}"
125645154665949,2902553,0000559019c7f88343572286ff407e06b659c80bdda6c5290fe0f9326f71cb9c,17,32426,cpu,"{""t_true_ns"": 125645154665949}"
125645560500366,2971792,00003ed0c58f5c5ffc3f83e86aea309d79120d1d487dfa9383c840d780572c9f,17,69239,cpu,"{""t_true_ns"": 125645560500366}"
